customer_id,BOUNCE_FLAG,prob_score
cust1,1,0.9017237213111085
cust2,0,0.15352790951698905
cust3,0,0.11389058259609998
cust4,1,0.7221140296637759
cust5,1,0.8757692378377302
cust6,1,0.5218573882987096
cust7,1,0.8651221528340639
cust8,1,0.9718863465923218
cust9,0,0.15831280846155873
cust10,1,0.7221140296637759
cust11,1,0.9727572567920143
cust12,1,0.95554646705128
cust13,0,0.012773997659869075
cust14,1,0.9720561945110037
cust15,0,0.4144964745584564
cust16,1,0.9224118648346228
cust17,0,0.011351223820516522
cust18,1,0.9586734005795606
cust19,1,0.9215541668403308
cust20,1,0.8312120319040428
cust21,1,0.804878584012042
cust22,1,0.7694017210898991
cust23,0,0.4084218571971618
cust24,0,0.3677978048519534
cust25,1,0.9327792632594097
cust26,0,0.011071531148295725
cust27,1,0.9181391932730311
cust28,0,0.010193493373453023
cust29,1,0.9470056174551584
cust30,1,0.9476103215582607
cust31,1,0.5120965940103779
cust32,1,0.9329219409672981
cust33,0,0.012227380948058418
cust34,1,0.9711996005544241
cust35,1,0.9189351734992343
cust36,0,0.10295282965374954
cust37,0,0.10443770861460018
cust38,1,0.9579953184999046
cust39,1,0.9294005370713653
cust40,1,0.8650181040669594
cust41,1,0.9612150887328338
cust42,0,0.007822263305754655
cust43,0,0.012474323333876191
cust44,1,0.9753903062304775
cust45,1,0.8501997411095275
cust46,1,0.934846295615807
cust47,0,0.09905830362040581
cust48,1,0.804878584012042
cust49,1,0.804878584012042
cust50,1,0.9552976609616888
cust51,0,0.4299716953342112
cust52,1,0.9654167683928405
cust53,0,0.24233560780869684
cust54,0,0.1067956429489849
cust55,0,0.011905539074674166
cust56,1,0.9656006016034874
cust57,0,0.011351223820516522
cust58,0,0.009835965785298278
cust59,0,0.008075360820451639
cust60,1,0.9204540834753608
cust61,1,0.9367858414682143
cust62,0,0.011886300018663904
cust63,1,0.9210593050653058
cust64,0,0.012556993858343373
cust65,0,0.4299716953342112
cust66,1,0.8338599063142366
cust67,1,0.8951381041353081
cust68,0,0.007578093789379858
cust69,1,0.9295095524838642
cust70,1,0.9052986164065928
cust71,1,0.7906279960088951
cust72,1,0.9598574591045291
cust73,1,0.9686653426914198
cust74,1,0.5087184264848189
cust75,1,0.9369904801344617
cust76,1,0.9230389075756753
cust77,1,0.9690816840348953
cust78,0,0.07075833413037655
cust79,0,0.06915574275602332
cust80,1,0.7679178227691439
cust81,0,0.03622839589582404
cust82,0,0.03750456282751331
cust83,1,0.8459344773798795
cust84,1,0.8660810409358047
